date,service_name,tme_category,User_Base
2023-01-06,Porno Gafas,Light,9729
2023-01-06,Rincon Prohibido,Light,1579
2023-01-06,Tonos Reales,Music,178
2023-01-07,La Gruta del Sexo,Light,12833
2023-01-07,Porno Gafas,Light,9763
2023-01-07,Rincon Prohibido,Light,1578
2023-01-07,Tonos Reales,Music,178
2023-01-08,La Gruta del Sexo,Light,12863
2023-01-08,Porno Gafas,Light,9784
2023-01-08,Rincon Prohibido,Light,1574
2023-01-08,Tonos Reales,Music,178
2023-01-09,La Gruta del Sexo,Light,12829
2023-01-09,Porno Gafas,Light,9792
2023-01-09,Rincon Prohibido,Light,1575
2023-01-09,Tonos Reales,Music,178
2023-01-11,La Gruta del Sexo,Light,12780
2023-01-11,Porno Gafas,Light,9795
2023-01-11,Rincon Prohibido,Light,1564
2023-01-11,Tonos Reales,Music,178
2023-01-12,La Gruta del Sexo,Light,12740
2023-01-12,Porno Gafas,Light,9778
2023-01-12,Rincon Prohibido,Light,1560
2023-01-12,Tonos Reales,Music,178
2023-01-13,La Gruta del Sexo,Light,12708
2023-01-13,Porno Gafas,Light,9777
2023-01-13,Rincon Prohibido,Light,1552
2023-01-13,Tonos Reales,Music,178
2023-01-14,La Gruta del Sexo,Light,12724
2023-01-14,Porno Gafas,Light,9795
2023-01-14,Rincon Prohibido,Light,1548
2023-01-14,Tonos Reales,Music,178
2023-01-15,La Gruta del Sexo,Light,12736
2023-01-15,Porno Gafas,Light,9811
2023-01-15,Rincon Prohibido,Light,1548
2023-01-15,Tonos Reales,Music,178
2023-01-16,La Gruta del Sexo,Light,12696
2023-01-16,Porno Gafas,Light,9808
2023-01-16,Rincon Prohibido,Light,1545
2023-01-16,Tonos Reales,Music,178
2023-01-17,La Gruta del Sexo,Light,12689
2023-01-17,Porno Gafas,Light,9811
2023-01-17,Rincon Prohibido,Light,1541
2023-01-17,Tonos Reales,Music,178
2023-01-18,La Gruta del Sexo,Light,12683
2023-01-18,Porno Gafas,Light,9827
2023-01-18,Rincon Prohibido,Light,1534
2023-01-18,Tonos Reales,Music,178
2023-01-19,La Gruta del Sexo,Light,12674
2023-01-19,Porno Gafas,Light,9826
2023-01-19,Rincon Prohibido,Light,1532
2023-01-19,Tonos Reales,Music,178
2023-01-20,La Gruta del Sexo,Light,12641
2023-01-20,Porno Gafas,Light,9811
2023-01-20,Rincon Prohibido,Light,1526
2023-01-20,Tonos Reales,Music,178
2023-01-21,La Gruta del Sexo,Light,12664
2023-01-21,Porno Gafas,Light,9838
2023-01-21,Rincon Prohibido,Light,1518
2023-01-21,Tonos Reales,Music,178
2023-01-22,La Gruta del Sexo,Light,12688
2023-01-22,Porno Gafas,Light,9868
2023-01-22,Rincon Prohibido,Light,1516
2023-01-22,Tonos Reales,Music,178
2023-01-23,La Gruta del Sexo,Light,12636
2023-01-23,Porno Gafas,Light,9832
2023-01-23,Rincon Prohibido,Light,1516
2023-01-23,Tonos Reales,Music,178
2023-01-24,La Gruta del Sexo,Light,12644
2023-01-24,Porno Gafas,Light,9835
2023-01-24,Rincon Prohibido,Light,1514
2023-01-24,Tonos Reales,Music,177
2023-01-25,La Gruta del Sexo,Light,12604
2023-01-25,Porno Gafas,Light,9829
2023-01-25,Rincon Prohibido,Light,1515
2023-01-25,Tonos Reales,Music,176
2023-01-26,La Gruta del Sexo,Light,12596
2023-01-26,Porno Gafas,Light,9826
2023-01-26,Rincon Prohibido,Light,1512
